ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"51.15.16.96","elite","AS12876","NL","Online SAS NL","10","SCALEWAY","46919","socks5","4692","1","2024-09-30T08:54:27.599Z","96","7652","8004"
"109.236.88.38","elite","AS49981","NL","WorldStream B.V.","13","Worldstream","30283","socks5","4097","1","2024-09-30T08:54:26.803Z","88","7100","8092"
"165.225.240.95","elite","AS62044","NL","Zscaler Switzerland GmbH","12","Zscaler, Inc","10605","socks5","1617","1","2024-09-30T08:52:16.097Z","98","7834","8011"
"206.189.15.100","elite","AS14061","NL","DigitalOcean, LLC","13","DigitalOcean, LLC","54330","socks5","1897","1","2024-09-30T08:50:54.605Z","100","8024","8024"
"217.12.201.56","elite","AS21100","NL","Green Floid LLC","13","Green Floid LLC","11337","socks5","3913","1","2024-09-30T08:39:58.993Z","100","8117","8127"
"147.45.43.142","elite","AS210644","NL","Aeza International LTD","94","Aeza International LTD","32370","socks5","654","1","2024-09-30T08:39:58.995Z","100","1135","1136"
"206.189.9.30","elite","AS14061","NL","DigitalOcean, LLC","12","DigitalOcean, LLC","42331","socks5","2603","1","2024-09-30T08:34:34.293Z","100","7996","7998"
"109.236.81.20","elite","AS49981","NL","WorldStream B.V.","12","N/A","30738","socks5","740","2","2024-09-30T08:27:51.805Z","100","1219","1225"
"165.231.101.229","elite","AS41564","NL","Orion Network Limited","96","Fiber Grid","80","socks5","5102","2","2024-09-30T08:15:31.499Z","100","8032","8034"
"185.36.132.223","elite","AS199752","NL","Go-Trex Internet Solution Partner","14","Go-Trex","9050","socks5","73","1","2024-09-30T08:03:21.606Z","100","7994","7997"
"109.234.39.199","elite","AS216071","NL","Servers Tech Fzco","14","Servers Tech Fzco","26115","socks5","2891","1","2024-09-30T08:03:09.604Z","78","6298","8062"
"68.183.7.47","elite","AS14061","NL","DigitalOcean, LLC","12","DigitalOcean, LLC","7497","socks5","4709","1","2024-09-30T08:00:14.090Z","67","5396","8003"
"128.199.59.76","elite","AS14061","NL","DigitalOcean, LLC","86","DigitalOcean, LLC","29321","socks5","214","2","2024-09-30T08:00:02.491Z","100","8033","8069"
"217.23.15.50","elite","AS49981","NL","CUSTOMERPANEL","12","N/A","14917","socks5","2898","2","2024-09-30T08:00:02.597Z","100","1358","1359"
"109.236.84.101","elite","AS49981","NL","WorldStream B.V.","12","Worldstream","30090","socks5","893","1","2024-09-30T07:57:04.998Z","100","7947","7953"
"134.122.55.214","elite","AS14061","NL","DigitalOcean, LLC","13","DigitalOcean, LLC","1414","socks5","3515","81","2024-09-30T07:57:04.992Z","99","1237","1253"
"141.11.1.240","elite","AS43350","NL","NForce Entertainment B.V.","82","rack400 Cloud","1080","socks5","2696","1","2024-09-30T07:57:04.904Z","43","504","1182"
"85.209.229.88","elite","AS211975","NL","Sascha Wohlert","11","Sascha Wohlert","24193","socks5","775","2","2024-09-30T07:47:08.295Z","99","1172","1179"
"217.23.8.166","elite","AS49981","NL","CUSTOMERPANEL","12","N/A","42243","socks5","2901","1","2024-09-30T07:41:34.293Z","100","1211","1211"
"157.245.77.149","elite","AS14061","NL","DigitalOcean, LLC","13","DigitalOcean, LLC","2817","socks5","1702","2","2024-09-30T07:29:03.588Z","100","8052","8053"
"178.62.202.227","elite","AS14061","NL","DigitalOcean, LLC","12","Digital Ocean","7497","socks5","1104","1","2024-09-30T07:28:01.097Z","100","8063","8064"
"165.22.204.32","elite","AS14061","NL","DigitalOcean, LLC","13","DigitalOcean, LLC","59166","socks5","3103","1","2024-09-30T07:27:10.401Z","100","1267","1268"
"45.81.225.94","elite","AS204601","NL","Zomro B.V.","12","On-line Data LTD","30001","socks5","4406","1","2024-09-30T07:15:55.790Z","52","4121","8001"
"185.162.128.135","elite","AS14576","NL","Hosting purposes in Netherlands","12","N/A","9057","socks5","67","1","2024-09-30T04:28:09.691Z","93","7475","8079"
